SYMBOL,CURRENT PRICE,INDUSTRY,PE,FORWARD PE,EPS,PEG,EPS ESTIMATE,RECOMMENDATION
BHLB,11.16,Finance,10.43,19.20,1.07,.02,2.4,2.67
BGCP,2.7,Finance,270,4.51,0.01,.00,0.61,2
BRPA,10.9162,Finance,,,,N/A,,
BRPAR,0.2725,Finance,,,,,,
BRPAU,14.86,Finance,,,,,,
BRPAW,0.3778,Finance,,,,,,
BLK,555.37,Finance,20.57,20.84,27,2.08,28.48,1.41
BCOR,11.68,Finance,NE,10.76,-6.90,.72,1.85,1
BRBS,15,Finance,,,,,,
BXG,5.02,Finance,19.31,14.94,0.26,.01,0.6,2
BSBK,8.91,Finance,,,,N/A,,
BOKF,60.09,Finance,9.43,13.04,6.37,.01,7.16,3
BOKFL,25.18,Finance,,,,,,
BOMN,15.87,Finance,NE,,-0.93,N/A,,1
BPFH,6.59,Finance,9.03,14.71,0.73,.01,0.96,3
BDGE,22.52,Finance,9.34,8.09,2.41,.01,2.59,2
BWB,9.9,Finance,9.25,10.17,1.07,.01,1.05,1
BHF,31.31,Finance,0.67,3.65,46.42,.00,9.58,3.86
BHFAL,25.9,Finance,,,,,,
BHFAO,25.42,Finance,,,,,,
BHFAP,25.86,Finance,,,,,,
BSA,23.9,Finance,,,,,,
BSIG,10.07,Finance,4.34,7.53,2.32,1.06,1.77,3.33
BYFC,3.31,Finance,NE,,-0.02,N/A,,
BPY,10.7,Finance,9.82,,1.09,N/A,,1.5
BPYPN,17.97,Finance,,,,,,
BPYPO,19.69,Finance,,,,,,
BPYPP,19.77,Finance,,,,,,
BRKL,9.69,Finance,16.15,32.63,0.60,.03,1.1,2
BRO,41.13,Finance,26.54,29.27,1.55,.03,1.4,2.89
BRP,15.87,Finance,,,,.83,0.2,2
BMTC,26.73,Finance,14.53,25.23,1.84,.03,3.1,2.33
BFST,15.1,Finance,9.1,10.69,1.66,.01,1.8,2
BY,12.5,Finance,10.33,14.63,1.21,1.46,1.62,2
CFFI,34.09,Finance,6.36,,5.36,N/A,,
CADE,9.26,Finance,NE,9.16,-2.04,.01,1.72,2.43
CALB,15.66,Finance,22.7,,0.69,N/A,,
CATC,56.97,Finance,10.91,12.60,5.22,.01,6.2,2.5
CAC,33.01,Finance,8.99,9.98,3.67,.01,3.69,3
CM,68.72,Finance,10.06,11.21,6.83,3.20,8.97,2.5
CBNK,10.1,Finance,8.56,8.93,1.18,.01,1.21,2
CCBG,19.83,Finance,11.66,19.09,1.70,.02,1.83,3
COF,68.07,Finance,13.4,NE,5.08,-3.81,12.09,1.73
CFFN,10.84,Finance,20.85,24.09,0.52,.02,0.68,2.33
CSTR,11.5,Finance,11.27,15.71,1.02,.02,1.31,2.83
CARV,12.2,Finance,,,,N/A,,
CATY,26.96,Finance,8.32,10.67,3.24,.01,3.48,2.6
CBFV,24.71,Finance,11.08,23.18,2.23,.02,2.38,2
CBMB,12.46,Finance,,,,N/A,,
CBRE,46.74,Finance,12.33,18.69,3.79,1.70,3.71,2.29
CBTX,20.34,Finance,10.76,17.13,1.89,.02,2.02,2.33
PCPL,10.03,Finance,,,,N/A,,
CFBK,10.47,Finance,5.37,,1.95,N/A,,
CVCY,14.23,Finance,8.23,9.15,1.73,.01,1.59,2.2
CNBKA,75.81,Finance,10.56,,7.18,N/A,,
CFFA,10.49,Finance,,,,N/A,,
CFFAU,11.7456,Finance,,,,,,
CFFAW,1.3435,Finance,,,,,,
CHMG,25,Finance,8.93,11.44,2.80,.01,3.2,2
JRJC,7.17,Finance,NE,,-3.55,N/A,,
HGSH,0.8624,Finance,,,,N/A,,
LFC,10.25,Finance,8.27,9.71,1.24,.01,,1
XRF,2.65,Finance,,,,N/A,,
COFS,28.78,Finance,,,,N/A,,
CHPM,9.9,Finance,,,,N/A,,
CHPMU,10.25,Finance,,,,,,
CHPMW,0.75,Finance,,,,,,
CB,127.95,Finance,15.99,13.22,8,.01,10.11,2.53
CCX,11.035,Finance,,,,N/A,,
CCXX,10.25,Finance,,,,,,
CIIC,9.8001,Finance,,,,N/A,,
CIICU,10.2,Finance,,,,,,
CIICW,0.7,Finance,,,,,,
CNNB,9.15,Finance,,,,N/A,,
CINF,63.17,Finance,203.77,18.84,0.31,.02,4.2,3.25
CIT,22.75,Finance,NE,NE,-2.30,-.01,5.06,2
CCAC,9.8,Finance,,,,N/A,,
BLW,13.98,Finance,,,,N/A,,
C,52.92,Finance,7.33,17.39,7.22,1.66,7.58,1.32
C^K,26.88,Finance,,,,,,
C^N,27.04,Finance,,,,,,
CZNC,20.83,Finance,15.32,,1.36,N/A,,
CZWI,7.28,Finance,7.35,8.93,0.99,.01,0.96,2
CFG,25.35,Finance,8.65,25.64,2.93,4.47,3.84,1.5
CIZN,25.5,Finance,22.97,,1.11,N/A,,
CIA,5.62,Finance,NE,,-0.01,N/A,,
CHCO,64.27,Finance,10.89,17.78,5.90,.02,5.46,3
CIVB,15,Finance,7.85,10.59,1.91,.01,2.01,2.33
CME,175.52,Finance,26.35,23.17,6.66,4.40,6.8,2.43
CNA,32.55,Finance,14.86,10.77,2.19,2.15,3.59,3.33
CCNE,17.41,Finance,6.75,8.95,2.58,.01,2.63,1
CNF,4,Finance,6.45,NE,0.62,-.02,1.04,1
